Lough,RepresentativeMonitoringPoints,ShellfishSpecies,DateOfSampling,DSPAlgae,ASPAlgae,PSPAlgae,Status,Comments
Belfast,B12 - AFFNI54,Mussels,24/08/2020,20,12200,No harmful species,Open,
Belfast,B12 - AFFNI54,Mussels,07/09/2020,No harmful species,No harmful species,No harmful species,Open,
Belfast,B12 - AFFNI54,Mussels,21/09/2020,No harmful species,800,No harmful species,Open,
Belfast,B12 - AFFNI54,Mussels,12/10/2020,No harmful species,No harmful species,No harmful species,Open,
Belfast,B12 - AFFNI54,Mussels,26/10/2020,No harmful species,No harmful species,No harmful species,Open,
Belfast,B12 - AFFNI54,Mussels,09/11/2020,No harmful species,No harmful species,No harmful species,Open,
Belfast,B12 - AFFNI54,Mussels,23/11/2020,No harmful species,40,No harmful species,Open,
Belfast,B12 - AFFNI54,Mussels,14/12/2020,No harmful species,No harmful species,No harmful species,Open,
Belfast,B12 - AFFNI54,Mussels,28/12/2020,No harmful species,No harmful species,No harmful species,Open,
Belfast,B20 - AFFNI53,Mussels,06/01/2020,No harmful species,No harmful species,No harmful species,Open,
Belfast,B20 - AFFNI53,Mussels,12/01/2020,No harmful species,No harmful species,No harmful species,Open,
Belfast,B20 - AFFNI53,Mussels,20/01/2020,No harmful species,240,No harmful species,Open,
Belfast,B20 - AFFNI53,Mussels,27/01/2020,No harmful species,100,No harmful species,Open,
Belfast,B20 - AFFNI53,Mussels,02/02/2020,No harmful species,80,No harmful species,Open,
Belfast,B20 - AFFNI53,Mussels,10/02/2020,,,,Open,Samples rescheduled due to adverse weather conditions
Belfast,B20 - AFFNI53,Mussels,12/02/2020,No harmful species,No harmful species,No harmful species,Open,
Belfast,B20 - AFFNI53,Mussels,17/02/2020,No harmful species,No harmful species,No harmful species,Open,
Belfast,B20 - AFFNI53,Mussels,24/02/2020,No harmful species,No harmful species,No harmful species,Open,
Belfast,B20 - AFFNI53,Mussels,02/03/2020,No harmful species,No harmful species,No harmful species,Open,
Belfast,B20 - AFFNI53,Mussels,09/03/2020,No harmful species,40,No harmful species,Open,
Belfast,B20 - AFFNI53,Mussels,16/03/2020,No harmful species,No harmful species,No harmful species,Open,
Belfast,B20 - AFFNI53,Mussels,23/03/2020,No harmful species,920,No harmful species,Open,
Belfast,B20 - AFFNI53,Mussels,30/03/2020,No harmful species,1180,No harmful species,Open,
Belfast,B20 - AFFNI53,Mussels,15/04/2020,No harmful species,No harmful species,No harmful species,Open,
Belfast,B20 - AFFNI53,Mussels,27/04/2020,No harmful species,No harmful species,20,Open,
Belfast,B20 - AFFNI53,Mussels,12/05/2020,No harmful species,760,No harmful species,Open,
Belfast,B20 - AFFNI53,Mussels,26/05/2020,No harmful species,480,No harmful species,Open,
Belfast,B20 - AFFNI53,Mussels,08/06/2020,No harmful species,2060,No harmful species,Open,
Belfast,B20 - AFFNI53,Mussels,22/06/2020,No harmful species,6200,No harmful species,Open,
Belfast,B20 - AFFNI53,Mussels,14/07/2020,140,3660,No harmful species,Open,D. acuminata present above trigger level. Investigatory email issued 16/07/2020. 
Belfast,B20 - AFFNI53,Mussels,27/07/2020,20,1040,No harmful species,Open,
Belfast,B20 - AFFNI53,Mussels,10/08/2020,40,3980,No harmful species,Open,
Belfast,B20 - AFFNI53,Mussels,24/08/2020,No harmful species,2280,No harmful species,Open,
Belfast,B20 - AFFNI53,Mussels,07/09/2020,No harmful species,No harmful species,No harmful species,Open,
Belfast,B20 - AFFNI53,Mussels,21/09/2020,No harmful species,320,No harmful species,Open,
Belfast,B20 - AFFNI53,Mussels,12/10/2020,No harmful species,No harmful species,No harmful species,Open,
Belfast,B20 - AFFNI53,Mussels,26/10/2020,No harmful species,80,No harmful species,Open,
Belfast,B20 - AFFNI53,Mussels,09/11/2020,No harmful species,No harmful species,No harmful species,Open,
Belfast,B20 - AFFNI53,Mussels,23/11/2020,No harmful species,80,No harmful species,Open,
Belfast,B20 - AFFNI53,Mussels,14/12/2020,No harmful species,No harmful species,No harmful species,Open,
Belfast,B20 - AFFNI53,Mussels,28/12/2020,No harmful species,No harmful species,No harmful species,Open,
Carlingford,C7 - AFFNI73,Oysters,06/01/2020,No harmful species,No harmful species,No harmful species,Open,
Carlingford,C7 - AFFNI73,Oysters,20/01/2020,No harmful species,No harmful species,No harmful species,Open,
Carlingford,C7 - AFFNI73,Oysters,03/02/2020,No harmful species,No harmful species,No harmful species,Open,
Carlingford,C7 - AFFNI73,Oysters,17/02/2020,No harmful species,No harmful species,No harmful species,Open,
Carlingford,C7 - AFFNI73,Oysters,02/03/2020,No harmful species,No harmful species,No harmful species,Open,
Carlingford,C7 - AFFNI73,Oysters,15/03/2020,No harmful species,No harmful species,No harmful species,Open,
Carlingford,C7 - AFFNI73,Oysters,31/03/2020,No harmful species,No harmful species,No harmful species,Open,
Carlingford,C7 - AFFNI73,Oysters,27/04/2020,No harmful species,No harmful species,No harmful species,Open,
Carlingford,C7 - AFFNI73,Oysters,11/05/2020,No harmful species,No harmful species,No harmful species,Open,
Carlingford,C7 - AFFNI73,Oysters,27/05/2020,No harmful species,No harmful species,No harmful species,Open,
Carlingford,C7 - AFFNI73,Oysters,09/06/2020,No harmful species,120,No harmful species,Open,
Carlingford,C7 - AFFNI73,Oysters,23/06/2020,No harmful species,No harmful species,No harmful species,Open,
Carlingford,C7 - AFFNI73,Oysters,30/06/2020,40,No harmful species,No harmful species,Open,
Carlingford,C7 - AFFNI73,Oysters,15/07/2020,No harmful species,1680,No harmful species,Open,
Carlingford,C7 - AFFNI73,Oysters,27/07/2020,No harmful species,1400,No harmful species,Open,
Carlingford,C7 - AFFNI73,Oysters,10/08/2020,No harmful species,No harmful species,No harmful species,Open,
Carlingford,C7 - AFFNI73,Oysters,01/09/2020,No harmful species,80,No harmful species,Open,
Carlingford,C7 - AFFNI73,Oysters,14/09/2020,No harmful species,160,No harmful species,Open,
Carlingford,C7 - AFFNI73,Oysters,28/09/2020,No harmful species,80,No harmful species,Open,
Carlingford,C7 - AFFNI73,Oysters,13/10/2020,No harmful species,No harmful species,No harmful species,Open,
Carlingford,C7 - AFFNI73,Oysters,27/10/2020,No harmful species,No harmful species,No harmful species,Open,
Carlingford,C7 - AFFNI73,Oysters,09/11/2020,No harmful species,No harmful species,No harmful species,Open,
Carlingford,C7 - AFFNI73,Oysters,23/11/2020,No harmful species,No harmful species,No harmful species,Open,
Carlingford,C7 - AFFNI73,Oysters,07/12/2020,No harmful species,No harmful species,No harmful species,Open,
Carlingford,C7 - AFFNI73,Oysters,14/12/2020,No harmful species,No harmful species,No harmful species,Open,
Carlingford,C9 - AFFNI39 - represents C15 AFFNI 89 and C17 AFFNI92,Oysters,06/01/2020,No harmful species,No harmful species,No harmful species,Open,
