Lough,RepresentativeMonitoringPoints,ShellfishSpecies,DateOfSampling,DSPAlgae,ASPAlgae,PSPAlgae,"Other (Producers of Yessotoxins, Hepatotoxins and Icthytoxic and nuisance species)",Status,Comments
Lough Foyle ,Production Area 4,Oysters/Mussels ,06/06/2023,No harmful species identified,No harmful species identified,No harmful species identified,No harmful species identified,Open,
Belfast ,B1 - AFFNI55,Mussels,12/06/2023,No harmful species identified,540,No harmful species identified,No harmful species identified,Open,
Belfast,B3 - AFFNI50,Mussels,12/06/2023,60,1200,No harmful species identified,No harmful species identified,Open,
Belfast ,B12 - AFFNI54,Mussels,12/06/2023,20,560,No harmful species identified ,No harmful species identified ,Open,
Belfast ,B20 - AFFNI53,Mussels,12/06/2023,60,760,No harmful species identified,No harmful species identified,Open,
Carlingford,C1 - AFFNI27,Mussels ,12/06/2023,No harmful species identified,40,No harmful species identified ,No harmful species identified,Open,
Carlingford,C11 - AFFNI84,Oysters  ,12/06/2023,20,120,No harmful species identified,No harmful species identified,Open,
Carlingford,"C15 - AFFNI89 - Represents C7 AFFNI73, C9 - AFFNI39, C17 AFFNI92",Oysters  ,12/06/2023,No harmful species identified,720,No harmful species identified,No harmful species identified ,Open,
Carlingford ,Narrow Water Wild Fishery ,Mussels,12/06/2023,No harmful species identified,No harmful species identified,No harmful species identified,No harmful species identified ,Open,
Larne Lough ,L3 AFFNI 88,Oysters ,12/06/2023,No harmful species identified,420,No harmful species identified,No harmful species identified,Open,
Belfast ,B1 - AFFNI55,Mussels ,19/06/2023,20,660,No harmful species identified,No harmful species identified,Open,
Belfast ,B3 - AFFNI50,Mussels ,19/06/2023,100,520,No harmful species identified,No harmful species identified,Open,outwith letter issued 20.6.2023
Belfast,B12 - AFFNI54,Mussels ,19/06/2023,80,720,No harmful species identified ,No harmful species identified ,Open,
Belfast ,B20 - AFFNI53,Mussels ,19/06/2023,100,1060,No harmful species identified ,No harmful species identified,Open,Outwith letter issued 20.6.2023
Carlingford,C1 - AFFNI27,Mussels,19/06/2023,No harmful species identified,No harmful species identified,No harmful species identified ,No harmful species identified,Open,
Carlingford ,C11 - AFFNI84,Oysters  ,19/06/2023,No harmful species identified,120,No harmful species identified,No harmful species identified,Open,
Carlingford,"C15 - AFFNI89 - Represents C7 AFFNI73, C9 - AFFNI39, C17 AFFNI92",Oysters  ,19/06/2023,No harmful species identified,80,No harmful species identified ,No harmful species identified ,Open,
Carlingford ,Narrow Water Wild Fishery,Mussels ,19/06/2023,No harmful species identified,80,No harmful species identified ,No harmful species identified ,Open,
Dundrum Bay,Inner North - DB1 - AFFNI95A,Oysters,19/06/2023,No harmful species identified,No harmful species identified,No harmful species identified,No harmful species identified ,Open,
Killough,K1- AFFNI18,Oysters  ,19/06/2023,40,2000,No harmful species identified,No harmful species identified,Open,
Lough Foyle,Production Area 3,Oysters/Mussels,19/06/2023,No harmful species identified ,No harmful species identified ,No harmful species identified ,No harmful species identified ,Open,
Lough Foyle ,Production Area 4,Oysters/Mussels ,19/06/2023,No harmful species identified ,No harmful species identified ,No harmful species identified,No harmful species identified,Open,
Strangford,S2 - AFFNI42,Mussels ,19/06/2023,No harmful species identified,440,No harmful species identified,No harmful species identified,Open,
Strangford ,S7 - AFFNI76,Oysters,19/06/2023,No harmful species identified ,1620,No harmful species identified ,No harmful species identified,Open,
Larne Lough ,L3 AFFNI 88,Oysters ,20/06/2023,No harmful species identified ,680,No harmful species identified,No harmful species identified,Open,
Belfast ,B1 - AFFNI55,Mussels,26/06/2023,180,1320,No harmful species identified ,No harmful species identified,Open,outwith letter issued 27.6.2023
Belfast,B3 - AFFNI50,Mussels,26/06/2023,180,1440,No harmful species identified,No harmful species identified,Open,outwith letter issued 27.6.2023
Belfast,B12 - AFFNI54,Mussels,26/06/2023,780,1760,No harmful species identified ,No harmful species identified ,Open,outwith letter issued 27.6.2023
Belfast ,B20 - AFFNI53,Mussels,26/06/2023,120,1480,No harmful species identified ,No harmful species identified,Open,Outwith letter issued 27.6.2023
Carlingford,C1 - AFFNI27,Mussels,26/06/2023,No harmful species identified,No harmful species identified,No harmful species identified ,No harmful species identified,Open,
Carlingford,C11 - AFFNI84,Oysters,26/06/2023,No harmful species identified,100,No harmful species identified,No harmful species identified,Open,
Carlingford,"C15 - AFFNI89 - Represents C7 AFFNI73, C9 - AFFNI39, C17 AFFNI92",Oysters,26/06/2023,No harmful species identified,80,No harmful species identified,No harmful species identified ,Open,
Carlingford,Narrow Water Wild Fishery,Mussels,26/06/2023,No harmful species identified,No harmful species identified,No harmful species identified,No harmful species identified ,Open,
Dundrum Bay ,Inner North - DB1 - AFFNI95A,Oysters  ,26/06/2023,20,1180,No harmful species identified,No harmful species identified ,Open,
Killough ,K1- AFFNI18,Oysters  ,26/06/2023,200,2640,No harmful species identified,No harmful species identified,Open,outwith letter issued 27.6.2023
Larne Lough ,L3 AFFNI 88,Oysters ,26/06/2023,20,680,No harmful species identified,No harmful species identified,Open,
Strangford,S2 - AFFNI42,Mussels ,27/06/2023,20,120,No harmful species identified,No harmful species identified,Open,
Strangford,S7 - AFFNI76,Oysters,27/06/2023,20,1540,No harmful species identified,No harmful species identified,Open,
Belfast ,B1 - AFFNI55,Mussels,03/07/2023,No harmful species identified,No harmful species identified,No harmful species identified,No harmful species identified,Open,
Belfast,B3 - AFFNI50,Mussels,03/07/2023,680,960,No harmful species identified,No harmful species identified,Open,outwith letter issue 4.7.2023
Belfast,B12 - AFFNI54,Mussels,03/07/2023,1000,1320,No harmful species identified ,No harmful species identified ,Open,outwith letter issued 4.7.2023
Belfast,B20 - AFFNI53,Mussels,03/07/2023,60,860,No harmful species identified ,No harmful species identified,Open,
Dundrum Bay ,Inner North - DB1 - AFFNI95A,Oysters,03/07/2023,No harmful species identified ,8640,No harmful species identified,No harmful species identified ,Open,
Killough,K1- AFFNI18,Oysters,03/07/2023,No harmful species identified ,760,No harmful species identified,No harmful species identified,Open,
Strangford,S2 - AFFNI42,Mussels,03/07/2023,20,420,No harmful species identified,No harmful species identified,Open,
